Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
오므라이스,일식,x,밥,h,x
오징어튀김,분식,x,밥,h,x
왕교자,중식,x,밥,h,x
죠리퐁,간식,x,과자,c,
김치찜,한식,o,밥,h,o
어묵탕,일식,x,밥,h,o
짜샤이,중식,o,,c,x
피자빵,간식,x,빵,c,x
멘보샤,중식,x,튀김,h,x
곤약,,x,,c,x
소머리국밥,한식,x,밥,h,o
마라탕 ,중식,o,면,h,o
마라샹궈,중식,o,밥,h,x
